mapping_code,career_flag,career_current
01-0005,1,"[""9""]"
01-0018,1,"[""9"",""8""]"
01-0021,1,"[""9""]"
01-0024,1,"[""4""]"
01-0030,1,"[""7""]"
01-0040,1,"[""7"",""9""]"
01-0041,1,"[""7"",""9""]"
01-0053,1,"[""7""]"
01-0055,1,"[""7""]"
01-0076,1,"[""8""]"
01-0089,1,"[""7""]"
01-0093,1,"[""8""]"
01-0095,1,"[""7""]"
01-0100,1,"[""7""]"
01-0106,2,[]
01-0111,1,"[""7""]"
01-0114,1,"[""4""]"
01-0120,1,"[""4""]"
01-0123,1,"[""4""]"
01-0125,2,[]
01-0136,1,"[""7""]"
01-0137,1,"[""7""]"
01-0139,1,"[""9""]"
01-0140,1,"[""7"",""9""]"
01-0144,1,"[""7""]"
01-0147,2,[]
01-0149,1,"[""9"",""7""]"
01-0150,1,"[""9""]"
01-0151,1,"[""9"",""7""]"
01-0154,2,"[""4""]"
01-0158,1,"[""7"",""9""]"
01-0160,2,[]
01-0164,1,"[""7""]"
01-0184,1,"[""9""]"
01-0190,1,"[""3"",""9""]"
01-0193,1,"[""7""]"
01-0196,1,"[""7""]"
01-0197,1,"[""7""]"
01-0205,2,[]
01-0207,1,"[""8""]"
01-0208,1,"[""8""]"
01-0210,2,[]
01-0211,2,[]
01-0214,1,"[""7""]"
01-0217,1,"[""9"",""7""]"
01-0231,2,[]
01-0232,2,[]
01-0239,1,"[""7"",""9""]"
01-0249,1,"[""9""]"
01-0267,2,[]
01-0268,1,"[""4""]"
01-0270,1,"[""9"",""7""]"
01-0277,1,"[""8""]"
01-0288,2,[]
01-0295,1,"[""8""]"
01-0297,2,[]
01-0301,1,"[""7""]"
01-0303,1,"[""7""]"
01-0304,1,"[""7""]"
01-0307,1,"[""7""]"
01-0309,1,"[""7""]"
01-0314,1,"[""7"",""9""]"
01-0317,1,"[""7""]"
01-0319,1,"[""4""]"
01-0323,1,"[""7"",""9""]"
01-0325,1,"[""7""]"
01-0327,1,"[""4"",""9""]"
01-0330,1,"[""7""]"
01-0331,2,[]
01-0332,2,[]
01-0334,1,"[""7""]"
01-0335,1,"[""7""]"
01-0339,2,[]
01-0342,1,"[""4""]"
01-0347,1,"[""7""]"
01-0351,1,"[""7""]"
01-0363,1,"[""7""]"
01-0368,2,[]
01-0374,2,[]
01-0379,2,[]
01-0380,1,"[""7"",""9""]"
01-0381,1,"[""8""]"
01-0382,1,"[""7""]"
01-0383,1,"[""7""]"
01-0384,1,"[""7"",""9""]"
01-0390,1,"[""7""]"
01-0394,1,"[""7""]"
01-0397,1,"[""7""]"
01-0400,1,"[""4""]"
01-0401,1,"[""7""]"
01-0402,1,"[""7"",""9""]"
01-0405,1,"[""4""]"
01-0406,1,"[""4""]"
01-0408,1,"[""7""]"
01-0409,1,"[""7""]"
01-0412,1,"[""9"",""7""]"
01-0413,1,"[""7"",""9""]"
01-0414,1,"[""9""]"
01-0417,1,"[""8""]"
01-0418,2,[]
01-0421,1,"[""7""]"
01-0423,2,[]
01-0425,1,"[""9""]"
01-0426,1,"[""9""]"
01-0430,1,"[""9""]"
01-0435,1,"[""7""]"
01-0441,1,"[""7""]"
01-0460,1,"[""4""]"
01-0471,1,"[""7""]"
01-0505,1,"[""7""]"
01-0511,1,"[""7""]"
01-0513,2,[]
01-0528,1,"[""4""]"
01-0542,1,"[""9""]"
01-0558,1,"[""7""]"
01-0566,1,"[""7""]"
01-0577,1,"[""7""]"
01-0578,1,"[""8""]"
01-0583,1,"[""4""]"
01-0585,2,[]
01-0594,2,[]
01-0597,1,"[""9""]"
01-0600,1,"[""6""]"
01-0605,1,"[""4""]"
01-0606,1,"[""8""]"
01-0614,1,"[""7""]"
01-0617,1,"[""9""]"
01-0621,1,"[""8""]"
01-0624,1,"[""9""]"
01-0627,1,"[""4""]"
01-0629,1,"[""7""]"
01-0631,1,"[""7"",""8""]"
01-0636,1,"[""4""]"
01-0639,1,"[""7"",""8""]"
01-0640,1,"[""7"",""8""]"
01-0648,2,[]
01-0658,2,[]
01-0662,1,"[""8""]"
01-0663,1,"[""7""]"
01-0668,2,[]
01-0670,1,"[""4"",""7""]"
01-0674,1,"[""7""]"
01-0675,1,"[""7""]"
01-0680,1,"[""4""]"
01-0682,1,"[""7""]"
01-0684,1,"[""7""]"
01-0690,2,"[""7""]"
01-0691,1,"[""7""]"
01-0696,1,"[""7""]"
01-0697,1,"[""7""]"
01-0706,1,"[""7""]"
01-0711,2,[]
01-0712,1,"[""4""]"
01-0713,1,"[""4""]"
01-0715,2,[]
01-0716,1,"[""7""]"
01-0717,1,"[""7""]"
01-0720,2,[]
01-0721,1,"[""7""]"
01-0726,1,"[""4"",""7""]"
01-0727,1,"[""7""]"
01-0735,1,"[""4""]"
01-0736,1,"[""7""]"
01-0744,1,"[""8"",""9""]"
01-0752,2,[]
01-0756,1,"[""7""]"
01-0757,1,"[""7""]"
01-0765,2,[]
01-0772,1,"[""7"",""4""]"
01-0791,1,"[""4""]"
01-0792,2,[]
01-0799,2,[]
01-0802,1,"[""8""]"
01-0813,1,"[""7""]"
01-0822,2,[]
01-0823,1,"[""7""]"
01-0825,2,[]
01-0827,2,[]
01-0830,1,"[""4"",""7""]"
01-0831,1,"[""4""]"
01-0837,1,"[""7""]"
01-0838,1,"[""9""]"
01-0839,1,"[""7""]"
01-0840,1,"[""7""]"
01-0841,1,"[""7""]"
01-0846,2,[]
01-0851,1,"[""7""]"
01-0855,1,"[""9""]"
01-0860,1,"[""7""]"
01-0872,2,[]
01-0873,2,[]
01-0879,2,[]
01-0886,1,"[""4""]"
01-0887,1,"[""4"",""9""]"
01-0890,1,"[""8""]"
01-0893,1,"[""7""]"
01-0904,2,[]
01-0908,2,[]
01-0916,2,[]
01-0920,1,"[""7""]"
01-0923,2,[]
01-0924,1,"[""4""]"
01-0929,1,"[""7""]"
01-0930,2,[]
01-0934,1,"[""7"",""4""]"
01-0939,2,[]
01-0941,1,"[""7""]"
01-0955,2,[]
01-0956,1,"[""4""]"
01-0960,2,[]
01-0961,1,"[""7""]"
01-0972,1,"[""8""]"
01-0973,1,"[""7""]"
01-0981,1,"[""8""]"
01-0987,1,"[""7""]"
01-0988,2,[]
01-0991,1,"[""9""]"
01-0995,1,"[""7""]"
01-0999,1,"[""7""]"
01-1001,1,"[""7""]"
01-1007,1,"[""9""]"
01-1010,2,[]
01-1015,1,"[""8""]"
01-1021,2,[]
01-1030,2,[]
01-1038,2,[]
01-1041,1,"[""7""]"
01-1048,1,"[""7""]"
01-1057,1,"[""4""]"
01-1059,1,"[""4""]"
01-1064,1,"[""7""]"
01-1068,1,"[""9""]"
01-1070,2,[]
01-1076,1,"[""7""]"
01-1095,2,[]
01-1096,2,[]
01-1101,1,"[""4""]"
01-1102,1,"[""7""]"
01-1109,1,"[""7""]"
01-1114,2,[]
01-1116,2,[]
01-1118,2,[]
01-1122,1,"[""8""]"
01-1124,1,"[""7""]"
01-1125,1,"[""7"",""9""]"
01-1126,1,"[""9""]"
01-1140,1,"[""7""]"
01-1156,1,"[""7""]"
01-1180,1,"[""7""]"
01-1187,2,[]
01-1200,1,"[""7""]"
01-1232,1,"[""7""]"
01-1247,1,"[""9""]"
01-1248,1,"[""7"",""9""]"
01-1249,1,"[""7""]"
01-1253,1,"[""9""]"
01-1257,2,[]
01-1260,2,[]
01-1263,1,"[""7""]"
01-1269,1,"[""7"",""9""]"
01-1271,1,"[""9""]"
01-1272,2,[]
01-1273,1,"[""7""]"
01-1274,1,"[""7""]"
