mapping_code,area_id,gender,age,Area Name
01-0005,1,1,74,Mae Ngoen
01-0018,1,0,67,Mae Ngoen
01-0021,1,1,63,Mae Ngoen
01-0024,1,1,61,Mae Ngoen
01-0030,1,0,61,Mae Ngoen
01-0040,1,1,71,Mae Ngoen
01-0041,1,0,69,Mae Ngoen
01-0053,1,1,68,Mae Ngoen
01-0055,1,1,64,Mae Ngoen
01-0076,1,0,73,Mae Ngoen
01-0089,1,1,65,Mae Ngoen
01-0093,1,0,81,Mae Ngoen
01-0095,1,0,70,Mae Ngoen
01-0100,1,1,77,Mae Ngoen
01-0106,1,1,76,Mae Ngoen
01-0111,1,1,70,Mae Ngoen
01-0114,1,0,62,Mae Ngoen
01-0120,1,1,63,Mae Ngoen
01-0123,1,1,66,Mae Ngoen
01-0125,1,0,71,Mae Ngoen
01-0136,1,0,74,Mae Ngoen
01-0137,1,0,65,Mae Ngoen
01-0139,1,1,69,Mae Ngoen
01-0140,1,0,68,Mae Ngoen
01-0144,1,0,67,Mae Ngoen
01-0147,1,1,78,Mae Ngoen
01-0149,1,0,72,Mae Ngoen
01-0150,1,1,66,Mae Ngoen
01-0151,1,0,66,Mae Ngoen
01-0154,1,0,63,Mae Ngoen
01-0158,1,1,70,Mae Ngoen
01-0160,1,0,64,Mae Ngoen
01-0164,1,0,67,Mae Ngoen
01-0184,1,1,71,Mae Ngoen
01-0190,1,0,71,Mae Ngoen
01-0193,1,0,61,Mae Ngoen
01-0196,1,0,65,Mae Ngoen
01-0197,1,1,68,Mae Ngoen
01-0205,1,1,65,Mae Ngoen
01-0207,1,0,63,Mae Ngoen
01-0208,1,1,75,Mae Ngoen
01-0210,1,1,72,Mae Ngoen
01-0211,1,0,67,Mae Ngoen
01-0214,1,0,64,Mae Ngoen
01-0217,1,0,63,Mae Ngoen
01-0231,1,1,67,Mae Ngoen
01-0232,1,0,64,Mae Ngoen
01-0239,1,1,71,Mae Ngoen
01-0249,1,1,75,Mae Ngoen
01-0267,1,0,61,Mae Ngoen
01-0268,1,1,72,Mae Ngoen
01-0270,1,0,65,Mae Ngoen
01-0277,1,1,67,Mae Ngoen
01-0288,1,0,65,Mae Ngoen
01-0295,1,0,69,Mae Ngoen
01-0297,1,1,76,Mae Ngoen
01-0301,1,1,67,Mae Ngoen
01-0303,1,0,66,Mae Ngoen
01-0304,1,1,72,Mae Ngoen
01-0307,1,0,66,Mae Ngoen
01-0309,1,0,88,Mae Ngoen
01-0314,1,1,64,Mae Ngoen
01-0317,1,0,82,Mae Ngoen
01-0319,1,0,70,Mae Ngoen
01-0323,1,0,63,Mae Ngoen
01-0325,1,1,75,Mae Ngoen
01-0327,1,0,67,Mae Ngoen
01-0330,1,0,63,Mae Ngoen
01-0331,1,0,85,Mae Ngoen
01-0332,1,0,68,Mae Ngoen
01-0334,1,1,82,Mae Ngoen
01-0335,1,0,71,Mae Ngoen
01-0339,1,1,85,Mae Ngoen
01-0342,1,0,74,Mae Ngoen
